Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week,Purchased
1,7/1/2019,female,100,white,4,vanilla,yes,<50K,yes,7,0
2,7/1/2019,female,100,blue,5,vanilla,yes,<50K,yes,5,1
3,7/1/2019,female,100,silver,6,vanilla,yes,<50K,yes,6,1
4,7/1/2019,female,100,silver,5,vanilla,yes,<50K,yes,5,1
5,7/1/2019,male,100,white,1,vanilla,yes,<50K,yes,7,0
6,7/1/2019,male,100,white,0,vanilla,yes,<50K,yes,9,0
7,7/1/2019,female,100,blue,2,vanilla,yes,<50K,yes,5,0
8,7/1/2019,female,100,black,5,vanilla,yes,<50K,yes,9,1
9,7/1/2019,male,100,blue,2,vanilla,yes,<50K,yes,7,0
10,7/1/2019,male,100,no preference,1,vanilla,yes,<50K,yes,5,0
11,7/1/2019,male,100,blue,10,vanilla,yes,<100K,yes,10,1
12,7/1/2019,female,100,no preference,8,vanilla,yes,<100K,yes,8,0
13,7/1/2019,male,100,silver,9,vanilla,yes,<50K,yes,9,1
14,7/1/2019,male,100,black,4,vanilla,yes,<50K,yes,6,0
15,7/1/2019,male,100,no preference,5,vanilla,yes,<50K,yes,6,1
16,7/1/2019,male,100,white,0,vanilla,yes,>100K,yes,3,1
17,7/1/2019,male,100,black,5,vanilla,yes,<50K,yes,5,0
18,7/1/2019,female,100,no preference,7,vanilla,yes,<50K,yes,7,1
19,7/1/2019,male,100,no preference,8,vanilla,yes,<50K,yes,8,1
20,7/1/2019,male,100,red,0,vanilla,yes,<50K,yes,5,0
21,7/1/2019,male,100,red,7,vanilla,yes,<50K,yes,10,1
22,7/1/2019,male,100,black,4,vanilla,yes,<50K,yes,4,0
23,7/1/2019,female,100,blue,8,vanilla,yes,<50K,yes,9,1
24,7/1/2019,female,100,blue,7,vanilla,yes,<50K,yes,7,0
25,7/1/2019,male,100,white,6,swirl,yes,<50K,yes,6,0
26,7/1/2019,male,100,no preference,6,vanilla,yes,<50K,yes,6,0
27,7/1/2019,male,100,no preference,10,vanilla,yes,<50K,yes,10,1
28,7/1/2019,female,100,no preference,2,no preference,yes,<50K,yes,2,0
29,7/1/2019,male,100,white,5,vanilla,yes,<50K,yes,5,0
30,7/1/2019,male,100,black,7,no preference,yes,<50K,yes,7,0
31,7/1/2019,male,100,red,6,chocolate,yes,<50K,yes,7,1
32,7/1/2019,male,100,silver,1,no preference,yes,<50K,yes,3,0
33,7/1/2019,female,100,black,5,swirl,yes,<50K,yes,7,0
34,7/1/2019,male,100,blue,2,vanilla,yes,<50K,yes,2,1
35,7/1/2019,female,100,black,1,no preference,yes,<100K,yes,4,0
36,7/1/2019,female,100,white,5,chocolate,yes,<100K,yes,5,1
37,7/1/2019,female,100,black,8,no preference,yes,<50K,yes,8,1
38,7/1/2019,male,100,red,6,vanilla,yes,<50K,yes,6,0
39,7/1/2019,male,100,no preference,8,swirl,yes,Not Reported,yes,8,0
40,7/1/2019,female,100,red,5,specialty,yes,Not Reported,yes,5,0
41,7/1/2019,male,100,blue,10,vanilla,yes,Not Reported,yes,10,1
42,7/1/2019,male,100,black,1,specialty,yes,Not Reported,yes,6,0
43,7/1/2019,male,100,no preference,3,specialty,yes,Not Reported,yes,3,0
44,7/1/2019,male,100,blue,9,vanilla,yes,Not Reported,yes,9,1
45,7/1/2019,male,100,no preference,5,specialty,yes,Not Reported,yes,10,0
46,7/1/2019,female,100,red,1,chocolate,yes,Not Reported,yes,9,1
47,7/1/2019,male,100,silver,1,chocolate,yes,Not Reported,yes,9,1
48,7/1/2019,male,100,blue,0,vanilla,yes,Not Reported,yes,6,0
49,7/1/2019,male,100,silver,8,specialty,yes,Not Reported,yes,8,1
50,7/1/2019,male,100,no preference,8,chocolate,yes,Not Reported,yes,8,0
51,7/1/2019,male,100,silver,9,specialty,yes,Not Reported,yes,9,1
52,7/1/2019,female,100,red,0,no preference,yes,Not Reported,yes,7,0
53,7/1/2019,female,100,red,5,chocolate,yes,Not Reported,yes,5,1
54,7/1/2019,male,100,blue,5,no preference,yes,Not Reported,yes,9,0
55,7/1/2019,male,100,white,7,swirl,yes,Not Reported,yes,7,1
56,7/1/2019,male,100,white,3,no preference,yes,Not Reported,yes,7,0
57,7/1/2019,male,100,no preference,5,no preference,yes,Not Reported,yes,5,0
58,7/1/2019,male,100,red,2,vanilla,yes,Not Reported,yes,9,1
59,7/1/2019,female,100,red,5,vanilla,yes,Not Reported,yes,9,1
60,7/1/2019,male,100,white,4,vanilla,yes,Not Reported,yes,9,1
61,7/1/2019,female,100,red,1,vanilla,yes,Not Reported,yes,10,1
62,7/1/2019,male,100,red,0,chocolate,yes,Not Reported,yes,9,1
63,7/1/2019,female,100,no preference,5,no preference,yes,Not Reported,yes,5,0
64,7/1/2019,male,100,white,5,swirl,yes,Not Reported,yes,5,0
